target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
Carroll County Sheriff’s Office;Safety;Arkansas;Ransomware;12/26/2016;"WOhio NewsDecember 26th, 2016Carroll County Sheriff’s Office, infected with ransomware Paid 3 bitcoin to unlock computer systems Hackers encrypted the department's management system, which holds reports, bookings, and other forms of day-to-day operational dataRead More";http://www.whio.com/news/arkansas-sheriff-office-hit-ransomware-pays-hackers/4GBVG8FBmJfrM7P9hkcJUM/;https://sheriff.carrollcountymd.gov/index.htm;Y;Sectigo;sha256;low;12;2016
"Computers Are Down For Sebastopol Police, Sonoma County";Safety;California;"Unknown, Malware";7/14/2021;"KSROJuly 14th, 2021“Sebastopol Police are looking into a computer system failure at the department.”“Officers are now resorting to using pens and paper on the job, and the nature of the computer system crash> is unknown according to officials.”“Experts are working on repairing the system, but officials say the department remains fully operational.”Read More";https://www.ksro.com/2021/07/14/computers-are-down-for-sebastopol-police/;https://www.countyoffice.org/sebastopol-police-department-sebastopol-ca-0e2/;Y;R3;sha256;low;7;2021
Azusa Police Suffered a Ransomware Attack. City Kept It a Secret.;Safety;California;"Unknown, Ransomware";6/3/2021;"Los Angeles TimesJune 3rd, 2021 In the most recent attack, the police were not locked out of their computers, instead, the suspected assailants, a group known as DoppelPaymer, announces in early March that they had copied huge amounts of data and would release it on the so-called dark web if a ransom wasn’t paid DoppelPaymer, demanded 15.5 bitcoin, which was worth about $800,000 at the time according to city manager When the ransom deadline passed, the hackers placed 7 gigabytes of Azusa data online. The materials included negative files, including recordings of witness interviews, a gang database and arrest reports, and office payroll data. As of Monday, the index page for the data had received more than 11,000 viewsRead More";https://www.latimes.com/california/story/2021-06-03/azusa-ransomware-attack-2018-kept-secret;https://azusapd.org/;Y;Sectigo;sha256;med;6;2021
Azusa Police Computers Hit by Ransomware Attack;Safety;California;"Unknown, Ransomware";5/28/2021;"SGV TribuneMay 28th, 2021Azusa police fell victim to a ransomware attack and the suspect got access to information in the department’s computersAzusa police fell victim to a ransomware attack and the suspect got access to information in the department’s computersPolice haven’t arrested anyone yet and haven’t determined how many people were affected by the security breach. The department has no evidence of actual or attempted misuse of the information Police said this information may have included Social Security numbers, driver’s license numbers, California ID numbers information on financial accounts or health insuranceRead More";https://www.sgvtribune.com/2021/05/28/azusa-police-computers-hit-by-ransomware-attack/;https://azusapd.org/;Y;Sectigo;sha256;med;5;2021
"San Diego Law Enforcement Coordination Center, State of California";Safety;California;"Hacking, Data Breach";11/24/2020;"CBS 8November 24th, 2020Thousands of bulletins were posted online in a recent BlueLeaks releaseSome bulletins released contained information regarding public schoolsOther releases contained very private and important informationRead More";"https://www.cbs8.com/article/news/investigations/blueleaks-san-diego-fusion-centers-records-hacked-posted-online/509-252178ff-947f-4fe7-85ae-b7529d397d76,";https://sdlecc.org/?AspxAutoDetectCookieSupport=1;Y;R3;sha256;med;11;2020
"The Joint Regional Intelligence Center, Los Angeles County";Safety;California;"Hacking, Data Breach";6/22/2020;"WiredJune 22nd, 2020Over one million sensitive law enforcement files were released following cyberattackBad actors dumped a collection of 269 gigabytes of dataOfficials advised that much of the information originated in law enforcement fusion centersRead More";https://www.wired.com/story/blueleaks-anonymous-law-enforcement-hack;https://www.jric.org/;Y;R3;sha256;low;6;2020
"Union City Government Systems, Alameda County";Safety;California;"Unknown, Malware";9/23/2019;"ABC 7 News September 23rd, 2019 Union City computer system taken offline over weekend due to viral cyberattack Officials stated that attack was not ransomware, but was unsure how long systems would be affected City official was unsure exactly what type of virus,"" but that IT had discovered it Read More";https://abc7news.com/virus-forces-union-city-to-shut-down-computer-system;http://www.acgov.org/;N;NA;NA;low;9;2019
"City of Lodi & Lodi Police Department, San Joaquin County";Safety;California;"Phishing, Ransomware";7/31/2019;"Gov Tech July 31st, 2019 City of Lodi victim of cyber attack that affected phone lines and financial systems Ransomware encrypted critical files, knocking out numerous phone lines Ransom demanded 75 bitcoin, city refused to pay and rebuilt systems instead Read More";https://www.govtech.com/security/Lodi-Calif-Confirms-Ransomware-Behind-Computer-Troubles.html;https://www.lodi.gov/215/Police;Y;Sectigo;sha256;med;7;2019
"City of Los Angeles Personnel Department, Los Angeles County";Safety;California;"Hacking, Data Breach";7/29/2019;"NBCLosAngeles July 29th, 2019 City of Los Angeles Personnel Department victim of data breachHacker stated they stole information of 20,000 individuals, many LAPD officers Data included names, birthdates, partial social security numbers, and e-mails Read More";https://www.nbclosangeles.com/news/local/LAPD-Police-Officers-Personal-Information-Stolen-Data-Breach-513340401.html;https://per.lacity.org/index.html;Y;DigiCert;sha256;high;7;2019
"City of Banning & Banning Police Department, Riverside County";Safety;California;"Unknown, Ransomware";5/3/2019;"Record Gazette May 3rd, 2019 City officials advised they were attacked by Ryuk ransomware virusOfficials further stated that all files on all computers have been inaccessibleNo ransom demands were discovered, Police Department systems restored firstRead More";https://www.recordgazette.net/news/hackers-lay-siege-to-banning-paralyzes-city-services/article_3fce9f5e-6d23-11e9-8376-b3faf75c2ce2.html;http://www.banning.ca.us/17/Banning-Police-Department;N;NA;NA;med;5;2019
"Port of San Diego & San Diego Harbor Police Department, San Diego County";Safety;California;Ransomware;9/26/2018;"The San Diego Union-TribuneSeptember 26th, 2018Port of San Diego targeted by highly sophisticated ransomware attack Attack additionally impacted the San Diego Harbor Police DepartmentThe police department is forced to use alternative technology systems as a result Port has placed public safety systems on high priority for restorationRead More";http://www.sandiegouniontribune.com/business/growth-development/sd-fi-port-cyberattack-20180926-story.html;https://www.portofsandiego.org/public-safety/harbor-police;Y;R3;sha256;med;9;2018
"San Benito Government & Public Safety Systems, San Benito County";Safety;California;Malware;8/29/2018;"BenitoLinkAugust 29th, 2018County systems down for more than a week due to malware attackCritical & Public safety services interrupted“Pen & paper” techniques implemented to continue functionalityRemains unknown how virus infiltrated networkSan Benito Co. Sheriff’s Office restoration made priorityRead More";https://benitolink.com/news/malware-brings-county-computers-down-over-week;https://www.cosb.us/departments/sheriff-s-office;Y;R3;sha256;low;8;2018
Calaveras Co. & Sheriff's Office;Safety;California;Hack;6/28/2017;"Times UnionJune 28th, 2017Hacked to display pro-islamic state ISIS Propaganda Team System Dz takes creditRead More";https://www.timesunion.com/bayarea/article/Calaveras-County-website-hacked-apparently-by-11254651.php;https://sheriff.calaverasgov.us/;Y;Go Daddy;sha256;low;6;2017
"Colorado Information Analysis Center, State of Colorado";Safety;Colorado;"Hacking, Data Breach";6/22/2020;"The Hacker NewsJune 22nd, 2020Recent blue lakes dump includes police and FBI reports, bulletin guides and more giving insight into law enforcement not commonly inaccessible by publicThe data contains over millions of files including images, documents, videos, web pages, text files, emails, auto files and moreInvestigations are looking into how many files are classified and not supposed to be publicRead More";https://thehackernews.com/2020/06/law-enforcement-data-breach.html;https://dhsem.colorado.gov/ciac;Y;Digicert;sha256;med;6;2020
"Hackers Seek Millions of Dollars from City of Clearfield in Cybersecurity Breach, Davis County";Safety;Connecticut;"Hacking,"" Ransomware";7/20/2021;"KJZZJuly 20th"","" 2021"""""""" The FBI has been notified and forensic insurance investigators are working with Clearfield City after hackers got into city systems and are seeking millions of dollars.""""""""""""""""System issues led IT to a demand letter from the hacker/s asking for """"""""millions of dollars"", Allen said. The city did not pay it, and its cybersecurity insurance provider took it from there. Clearfield shut all its systems down, cutting phone service, requiring cash or check payments,"" and prompting police and fire dispatch to use a spreadsheet to track information.""""""""""""""""But the threat was first identified because the city’s dispatch system slowed down.""""""""""""""""Allen agreed those files could contain personal information"","" """"""""and that’s one of those other areas beyond personnel that may have been more at risk.""""""""Read More""""";"https://kjzz.com/news/local/hackers-seek-millions-from-city-of-clearfield-in-cybersecurity-breach"",";https://clearfield.city/police-department/;Y;R3;sha256;med;7;2021
"Hartford Police Department and Hartford City computers, Hartford County";Safety;Connecticut;"Unknown, Ransomware";9/8/2020;"SC NowSeptember 8th, 2020School was postponed following one of the most severe cyber attacks against Connecticut's capital cityHackers stated that there was a ransom demand leaving behind contact information but no specific monetary requestsIt is unknown how the hackers gained access to their servers and over 200 computer services were affectedRead More";"https://scnow.com/business/start-of-school-in-hartford-delayed-by-ransomware-attack/article_5c4782e6-7457-584b-b31b-f944f9b6b2b3.html,";https://www.hartfordct.gov/Government/Departments/Police;Y;GlobalSign R3;sha256;med;9;2020
"Town of Plymouth & Plymouth Police Department, Litchfield County";Safety;Connecticut;"Phishing, Ransomware";3/3/2018;"NBC ConnecticutMarch 3rd, 2018Plymouth is another Connecticut town to fall victim to attacksThe attack began internally through an email and it is unknown who the employee wasThe towns IT team is investigating into the attack and the Police department’s system and operations were restored Read More";"https://www.nbcconnecticut.com/news/local/Plymouth-Town-Computers-Infected-with-Ransomware-506891361.html,";http://www.plymouthct.us/;N;NA;NA;low;3;2018
"Derby Police Department, New Haven County";Safety;Connecticut;Ransomware;7/10/2018;"News 8 WTNH.comJuly 10th, 2018Hackers took control of police email system, payroll records and HR documentsHeld critical data hostage more than 12 hours while demanding ransomFiles recovered thanks to a backup system, no ransom paidNo criminal investigative records and no personal information of officers compromised in breachRead More";https://www.wtnh.com/news/connecticut/new-haven/derby-police-computers-hacked-critical-files-held-for-ransom/1294256406;https://www.countyoffice.org/derby-police-department-derby-ct-3f4/;Y;R3;sha256;low;7;2018
"The Delaware Information and Analysis Center, State of Delaware";Safety;Delaware;"Hacking, Data Breach";6/22/2020;"WiredJune 22nd, 2020Over one million sensitive law enforcement files were released following cyberattackBad actors dumped a collection of 269 gigabytes of dataOfficials advised that much of the information originated in law enforcement fusion centersRead More";https://www.wired.com/story/blueleaks-anonymous-law-enforcement-hack;https://sac.delaware.gov/;Y;Entrust;sha256;med;6;2020
"Levy County Sheriff's Office, Levy County";Safety;Florida;"Unknown, TDoS";11/24/2020;"My CBS 4November 24th, 2020Phone services were rendered unusable as calls were continually incomingThe repetitive calling forced the Sheriff’s Office to unplug phone linesThese repeating attacks have prompted a need for upgrading the systemsRead More";"https://mycbs4.com/news/local/cyberattack-targets-levy-county-sheriffs-office-again,";https://levyso.com/;Y;CloudFlare;sha256;med;11;2020
Monroe County Sheriff’s Office and Key West City Hall Monroe County;Safety;Florida;"Unknown, Malware";9/3/2020;"Miami HeraldSeptember 3rd, 2020Servers were shut down for a week following a computer virusEmployees have to use pen and paper to continue normal operationsOnline records and resources were rendered offline until repairs to servers are madeRead More";https://www.miamiherald.com/news/local/community/florida-keys/article245467410.html;https://keysso.net/;Y;Digicert;sha256;high;9;2020
"Levy County Sheriff's Office, Levy County";Safety;Florida;"Unknown, DoS/TDoS";8/7/2020;"WCJB ABC 20August 7th, 2020Sheriff's office was victim of cyberattack, phone lines taken outBad actors utilized complicated denial of service attackEmergency phone lines remained operational, officials suggested alternative contact methodsRead More";https://www.wcjb.com/2020/08/08/non-emergency-phone-lines-down-at-levy-county-sheriffs-office/;https://levyso.com/;Y;CloudFlare;sha256;med;8;2020
"Levy County Sheriff's Office, Levy County";Safety;Florida;"Unknown, TDoS";7/17/2020;"WJCPJuly 17th, 2020The cyber attack caused systems to shut down and forced deputies to work over cell phonesOne the system was back up bad actors still held control over the system and demanded ransomAll non emergency lines remain down and exceptions were placed for contacting the Sheriff's officeRead More";https://www.wcjb.com/2020/07/17/levy-county-sheriff-offices-non-emergency-phone-lines-held-for-ransom;https://levyso.com/;Y;CloudFlare;sha256;med;7;2020
"North Miami Beach Police Department, Miami-Dade County";Safety;Florida;"Unknown, Ransomware";2/8/2020;"Miami HeraldFebruary 8th, 2020Emergency services remained unaffected despite cyberattackRansomware confirmed as method used by bad actorsOfficials remained unsure as to bad actor's identitiesRead More";"https://www.miamiherald.com/news/local/community/miami-dade/north-miami/article240101368.html,";https://www.citynmb.com/150/Police;Y;CloudFlare;sha256;med;2;2020
"St. Lucie County Sheriff's Office, St. Lucie County";Safety;Florida;"Unknown, Ransomware";12/17/2019;"CBS 12December 17th, 2019Federal law enforcement assisted Sheriff's Office with ransomware attackSheriff's Office network was mostly disconnected due to severityEmails, arrest reports, criminal background checks among lost systemsRead More";https://cbs12.com/news/local/st-lucie-county-sheriffs-office-hit-by-cyber-attack;https://www.stluciesheriff.com/;Y;Sectigo;sha256;med;12;2019
"Riviera Beach Police Department & City of Riviera Beach, Palm Beach County";Safety;Florida;"Phishing, Ransomware";6/4/2019;"WPDF June 4th, 2019 Florida city's email and computer systems were disabled in a cyber attack, local PD required to take nearly 300 reports by hand, daily Infiltration came from email phishing that employee opened, city officials sought to approve finances to get critical systems restored Riviera Beach Police Chief warned that with systems down, PD was unable to verify criminal history checks, among othersRead More";https://www.wpbf.com/article/riviera-beach-computer-shut-down-due-to-hacking-fix-may-cost-dollar1-million/27706400;https://www.rivierabch.com/rbpd;Y;NA;NA;low;6;2019
"City of Stuart, Martin County";Safety;Florida;"Unknown, Ransomware";4/16/2019;"TC Palm April 16th, 2019 A computer virus has shut down city servers blocking public contacts911 systems were left unaffected as the virus was isolated and systems are being restoredThe servers will be reactivated before the emails will be restored as there are now planned upgrades to the systemsRead More";https://www.tcpalm.com/story/news/local/martin-county/2019/04/16/stuart-city-officials-say-virus-their-computers-shut-down-city-email/3487295002;https://cityofstuart.us/262/Police-Department;Y;Sectigo;sha256;low;4;2019
Leon County Sheriff's Office;Safety;Florida;Virus;2/9/2018;"abc 27 WTXLFebruary 9th, 2018Sheriff's Office & State Attorney's Office impacted by computer virus Virus prohibits victim from sending documents Leon County Clerk of Courts experienced similar issuesRead More";http://www.wtxl.com/news/computer-virus-impacting-parts-of-leon-county-government/article_6dbbcb42-0db8-11e8-b85d-3f108fb4a448.html;https://www.leoncountyso.com/;Y;R3;sha256;med;2;2018
Flagler Sheriff's Office;Safety;Florida;Hack;4/15/2017;"Flagler LiveApril 15th, 2017Sheriff's website hacked to show clickbait and vulgar content Confusion between IT department and Google made it difficult to identify the problem Weakness in firewalls left website vulnerable to malicious malwareRead More";https://flaglerlive.com/106979/sheriff-website-hacking/;http://www.flaglersheriff.com/office-of-the-sheriff;N;NA;NA;low;4;2017
Town of Palm Beach 911 Services;Safety;Florida;Ransomware;6/9/2016;"CBS 12June 9th, 2016Computer systems targeted twice in two weeks Dispatchers used notepads to record calls Restored systems without paying ransom Read More";http://cbs12.com/news/local/town-of-palm-beach-fights-ransomware-attack-on-911-system;https://www.townofpalmbeach.com/297/Police-Department;Y;Sectigo;sha256;high;6;2016
"Atlanta PD Website, Fulton County";Safety;Georgia;"Hacking, Other";6/14/2020;"AJCJune 14th, 2020Website taken offline in apparent cyberattack by AnonymousIT personnel were able to restore services within hoursOfficials did not release any additional detailsRead More";https://www.ajc.com/news/breaking-news/hacker-group-claims-responsibility-after-apd-website-goes-offline/pYHBqHERBqPYqzPuC5tTxL;https://www.atlantapd.org/;Y;R3;sha256;high;6;2020
"City of Dunwoody & Dunwoody Police, Fulton County";Safety;Georgia;"Unknown, Ransomware";1/14/2020;"The CrierJanuary 14th, 2020Ransomware cyberattack used against city systemsFederal law enforcement assisted with investigationThird-party IT provider helped mitigate damageRead More";"http://www.thecrier.net/news/article_87f4420e-3715-11ea-ba3d-53816fc7f512.html,";https://www.dunwoodyga.gov/police;Y;R3;sha256;med;1;2020
"Department of Public Safety, State of Georgia";Safety;Georgia;"Unknown, Ransomware";7/27/2019;"WSBTV July 27th, 2019 Georgia Department of Public Safety victim of ransomware attackInvestigators conducted forensic analysis of network, shut down servers State Patrol, Capitol Police, others reverted to old system of phone and radio Read More";"https://www.wsbtv.com/news/local/georgia-department-of-public-safety-latest-victim-of-cyberattack/970585294,";https://dps.georgia.gov/;Y;Cloudflare;sha256;med;7;2019
"Blackshear Police Department, Pierce County";Safety;Georgia;"Unknown, Malware";7/19/2019;"WSBTV July 19th, 2019 Blackshear Police Department victim of cyber attack, FBI involvedLawrenceville and Henry County hit with malware during same attack Read More";https://www.wsbtv.com/news/local/gwinnett-county/lawrenceville-police-the-latest-victims-of-cyber-attack/968533646;https://piercegaso.org/;Y;Go Daddy;sha256;med;7;2019
"Lawrenceville Police Department, Gwinnett County";Safety;Georgia;"Unknown, Ransomware";7/20/2019;"11Alive July 20th, 2019 The department had been attacked by a corrupting ransomware that encrypted and blocked access to data on the servers Once it was discovered there were immediate attempts to work on restoring operations and investigating how this event happened Lawrenceville Police were the primary target with the city hall allegedly completely isolated from this incident aRead More";"https://www.11alive.com/article/news/local/mynews/lawrenceville/ransomeware-hits-lawrenceville-pd-computer-systems/85-5b4cd2dc-4b30-482c-85f7-44d84bebf7a2,";https://www.lawrencevillega.org/187/Police-Department;Y;Cloudflare;sha256;med;7;2019
"Stone Mountain Park Police, DeKalb County";Safety;Georgia;"Unknown, Ransomware";4/11/2019;"Fox 5 Atlanta April 11th, 2019 A cyber attack has impacted computer systems of Stone Mountain Memorial AssociationSeveral computer systems were held for ransom for several days, investigators are working to isolate the attackThe public was left unaffected as police officers had to hand write reports as systems are being worked onRead More";http://www.fox5atlanta.com/news/cyberattack-leaves-some-stone-mountain-services-inaccessible;https://www.stonemountaincity.org/departments/police/index.php;Y;R3;sha256;high;4;2019
"Jackson County Government, Jackson Co.";Safety;Georgia;"Unknown, Ransomware";3/4/2019;"Fox 5 AtlantaMarch 4th, 2019 It was confirmed that a cyber attack occurred in Jackson County on MondayThe county was then held for ransom during the attackIt is speculated that this may be a repeat attack similar to one that occurred in March 2018 Read More";"http://www.fox5atlanta.com/news/jackson-county-cyber-attack,";https://www.jacksoncountysheriff.org/Home;Y;R3;sha256;med;3;2019
Bibb County Sheriff’s Office & Macon-Bibb County Websites;Safety;Georgia;Hacking;1/20/2019;"13 WMAZJanuary 20th, 2019Sheriff's website defaced with message from Turkish hacktivistsSeveral departments shared the same hacked screen Websites were restored and are being investigatedPasswords were changed in order to fight backRead More";https://www.13wmaz.com/article/news/macon-bibb-co-sheriffs-website-hacked/93-9ec62170-6cd5-4308-b338-0fcaac8e48e9;https://www.maconbibb.us/tag/bibb-county-sheriffs-office/;Y;Starfield;sha256;low;1;2019
Coweta County & Coweta County Public Safety Systems;Safety;Georgia;Ransomware;8/20/2018;"Times-HeraldAugust 20th, 2018County’s computer systems affected by ransomware Majority of Coweta information technology servers compromised by attack Local public safety systems utilize backup systems, radio-only communications, and manual record keeping systemsRead More";"http://times-herald.com/news/2018/08/county-computers-hit-by-ransomware,";https://www.coweta.ga.us/government/departments-r-z/sheriff-home;NA;R3;sha256;med;8;2018
City of Atlanta & Atlanta PD;Safety;Georgia;Ransomware;3/22/2018;"11 AliveMarch 22nd, 2018Samsam ransomware takes down city web applications & some phone lines Police claim that they are unaffected but filing reports manually out of abundance of caution Police still taking calls Read More";http://www.11alive.com/mobile/article/news/local/cyberattack-hits-atlanta-computers-everyone-who-has-done-business-with-city-may-be-at-risk/85-530947288;https://www.atlantapd.org/;Y;R3;sha256;high;3;2018
City of Savannah & Savannah-Chatham Metropolitan PD;Safety;Georgia;Ransomware;2/13/2018;"Savannah NowFebruary 13th, 2018Malware attack, caused by email phishing scheme, hits Savannah City officials said malware had not impacted 911 center’s ability to receive/answer dispatch calls Virus affected system for 5 days – officials claim attack did not compromise city data or damage networkRead More";"http://www.savannahnow.com/news/2018-02-13/city-savannah-takes-precautionary-measures-during-malware-attack,";http://savannahpd.org/;N;NA;NA;;2;2018
Troup County Computer Systems Hacked;Safety;Georgia;Ransomware;4/7/2017;"LaGrange NewsApril 7th, 2017Hack affected all county computer systems, including Troup County Sheriff’s Office Deputies resorting to “old school” documentation Read More";http://www.lagrangenews.com/2017/04/07/county-computer-system-allegedly-hacked/;http://troupcountysheriff.org/;N;NA;NA;;4;2017
"Honolulu Police Department, Honolulu County";Safety;Hawaii;"Hacking, DoS";10/6/2020;"Hawaii News NowOctober 6th, 2020Previously-arrested man charged with masterminding cyberattack again PDBad actor sent one email every 30 seconds for at least 20 hoursDepartment's IT personnel were able to trace origin to bad actor's homeRead More";https://www.hawaiinewsnow.com/2020/10/07/waikiki-man-charged-bizarre-email-bomb-cyber-attack-targeting-hpd;https://www.honolulupd.org/;Y;R3;sha256;high;10;2020
Honolulu Fire Department Hit;Safety;Hawaii;Ransomware;9/26/2016;"Khon 2September 26th, 2016Did not pay ransom Personal emails lead to malicious ransomware attack HFD emails go through extensive filtering process Filtering process allowed time to shut down administrative computers Read More";http://www.khon2.com/news/local-news/malicious-software-may-have-infected-hfd-computer-system/901601753;https://fire.honolulu.gov/;Y;Digicert;sha256;med;9;2016
"Twin Falls County computer network remains down, cause under investigation";Safety;Idaho;"Unknown,"" Malware";8/11/2021;"MagicValley.comAugust 11th"","" 2021“TWIN FALLS — County departments continue to operate on a limited basis this week as they deal with internet and computer network outages caused by malware.""""""""""""""""The county’s information technology staff"", along with private cybersecurity experts, are working to determine what caused the technical disruption,""""""Sheriff’s office employees first noticed issues with the county’s internet and computer networks Saturday morning. """"""""""""""""Along with county departments"","" the local court system has been affected by this disruption.""""""""Read More""""";"https://magicvalley.com/news/local/govt-and-politics/twin-falls-county-computer-network-remains-down-cause-under-investigation/article_3d431047-4ef9-55ea-a3e0-22d8c1c449b2.html/""";https://www.tfid.org/186/Police;Y;Sectigo;sha256;;8;2021
"Post Falls Police Department, Kootenai County";Safety;Idaho;"Hacking,"" Ransomware";6/4/2020;"The Spokesman-ReviewJune 4th"", 2020Computer systems of police department disrupted by bad actorsRansomware infected systems,"" sensitive data remained intact""""""""Email and digital media among systems affected in attack""""""""Read More""""";"https://www.spokesman.com/stories/2020/jun/04/post-falls-police-department-says-no-sensitive-dat/""";https://www.postfallspolice.com/;Y;R3;sha256;med;6;2020
Ransomware Effects All of Bingham County – Including Dispatchers;Safety;Idaho;Ransomware;2/17/2017;"KSLFebruary 17th, 2017Unidentified hackers ask for $25,000-$30,000 County refused to pay ransom, depends on backup servers Virus was not contained and then infected backup servers, too Calls went through to 911 services, but maps and notepads were necessary to get things done Read More";"https://www.ksl.com/?sid=43220149,";https://sh.ingham.org/courts_and_sheriff/sheriffs_office/;Y;Digicert;sha256;high;2;2017
"City of Alton and Alton Police and Fire Departments, Madison County";Safety;Illinois;"Unknown,"" Malware";3/24/2021;"The TelegraphMarch 24th"","" 2021Mayor of Alton confirms a """"""""data incident"""""""" on March 5th"", 2021City servers, including Police and Fire Department functionality,"" were impactedFull functionality of city systems is still being restoredRead More""""";"https://www.thetelegraph.com/news/article/Alton-confirms-data-incident-in-early-March-16047613.php"",";http://cityofalton.riverbender.com/index.cfm?page=7333;N;NA;NA;med;3;2021
"Chicago Police Department, Cook County";Safety;Illinois;"Hacking, Other";6/2/2020;"BroBibleJune 2nd, 2020Chicago and Minneapolis police departments were victim of cyberattackPolice communications were hacked, random music and other sounds were played over radioAnonymous claimed responsibility for the attacks on both departmentsRead More";https://brobible.com/culture/article/anonymous-hacked-chicago-police-dept-scanners-radios-nwa/;https://home.chicagopolice.org/;Y;CloudFlare;sha256;med;6;2020
